,oligoB,oligoBR,oligoBR_std,oligoBR_stdfit,oligoB_std,oligoB_stdfit,oligoR,oligoR_std,oligoR_stdfit,t
132,1.029982909,1.018569206,0.001176338,0.00121483858287,0.002795723,0.00223450706541,1.023723636,0.000670049,0.000714282423006,0.005324799
133,1.028585455,1.017182986,0.00121979,0.00118796470461,0.002301671,0.00217197236739,1.021969636,0.000830453,0.000699767314889,0.005734399
134,1.025564818,1.016084109,0.001134481,0.00116388226095,0.001829874,0.0021160317545,1.020459182,0.000653899,0.000686677873344,0.006143999
135,1.023350909,1.01545762,0.000944783,0.00114214773575,0.002563586,0.00206561682166,1.019002545,0.000569572,0.000674799870496,0.006553599
136,1.020814182,1.013646736,0.000914397,0.00110438794047,0.001434196,0.00197816581387,1.016860182,0.000307501,0.000654024681275,0.007372799
137,1.019179909,1.0123809,0.001222843,0.00107261297112,0.00112288,0.0019046740279,1.015086273,0.000424887,0.000636415240602,0.008191999
138,1.017690636,1.011032264,0.00099418,0.00104542600362,0.002135334,0.00184183079925,1.013540273,0.000446069,0.000621266863371,0.009011199
139,1.015527,1.010541998,0.001120747,0.00102184683338,0.002350831,0.00178732633614,1.012386273,0.000526706,0.00060807720513,0.009830398
140,1.014821909,1.009679759,0.001003941,0.0010011645742,0.002232279,0.00173949384509,1.011318091,0.000533108,0.000596476913674,0.0106496
141,1.012916273,1.008980977,0.00092129,0.000982849777635,0.001970925,0.00169709735034,1.010330818,0.000609828,0.000586187575178,0.0114688
142,1.012066364,1.008261391,0.001166003,0.000966498690596,0.00207762,0.00165919793078,1.009529,0.000707344,0.000576994580247,0.012288
143,1.010751364,1.00788717,0.001273055,0.000951797499504,0.002351316,0.00162506830683,1.008944818,0.000832087,0.000568729517477,0.0131072
144,1.009281545,1.0065366,0.001172808,0.000926401456742,0.001516775,0.00156594010775,1.007895727,0.00075088,0.000554471678231,0.0147456
145,1.009067636,1.005811211,0.000937261,0.000905197942795,0.001655283,0.0015163427648,1.006741909,0.000454492,0.000542613618058,0.016384
146,1.008069273,1.005194498,0.001140715,0.000887201778716,0.001360445,0.00147401846919,1.005738091,0.000542338,0.000532609279457,0.0180224
147,1.007011182,1.004631781,0.00099081,0.00087172254056,0.002043716,0.00143739091897,1.005131636,0.000601931,0.000524071601042,0.0196608
148,1.005855091,1.004180825,0.000693264,0.000858260240855,0.001462215,0.00140532219503,1.004820636,0.000470287,0.000516717536655,0.0212992
149,1.005770273,1.00407168,0.000723848,0.000846442826861,0.001639256,0.00137696778108,1.004700273,0.000480696,0.000510334676841,0.0229376
150,1.005114909,1.003807023,0.000803365,0.000835987033394,0.001226273,0.00135168612737,1.004271091,0.000611622,0.000504760100798,0.024576
151,1.004752273,1.003881511,0.00087763,0.000826672988578,0.00162281,0.00132898020275,1.003765909,0.000511035,0.000499866516759,0.02621439
152,1.005017909,1.003075309,0.001018427,0.000810809676486,0.001508298,0.00128980520041,1.003369182,0.000559751,0.000491737336977,0.0294912
153,1.004959091,1.00292398,0.000720326,0.00079783015637,0.001025171,0.00125713827585,1.002937545,0.000481051,0.000485347612441,0.032768
154,1.004138818,1.002332044,0.00077897,0.000787047552512,0.000598035,0.00122943465902,1.002591364,0.000625988,0.000480291199385,0.0360448
155,1.003303364,1.002226447,0.000874711,0.000777981715194,0.000454775,0.00120561588305,1.002384,0.000465998,0.000476282154531,0.03932159
156,1.003155,1.001886784,0.000464188,0.00077028569627,0.001608048,0.00118490321289,1.002225909,0.000504163,0.000473112645176,0.04259839
157,1.003325818,1.001879628,0.000876631,0.000763702017664,0.001037301,0.00116671894065,1.002277182,0.000601563,0.00047062765358,0.04587519
158,1.003025545,1.001767754,0.000727879,0.000758035100172,0.001219477,0.00115062421939,1.001936091,0.000578515,0.000468708934309,0.04915199
159,1.002514336,1.001746327,0.00069912,0.000753133468733,0.001680057,0.00113627905353,1.001660091,0.000334315,0.0004672645763,0.05242879
160,1.002068455,1.00114585,0.000743233,0.000745172743147,0.001047814,0.00111181912334,1.001593727,0.000387081,0.000465522873857,0.05898239
161,1.001578436,1.000979288,0.000836964,0.000739119403857,0.001104882,0.00109176421747,1.001227364,0.000452752,0.00046497478586,0.06553599
162,1.001393091,1.000890716,0.000695534,0.000734505532743,0.001240357,0.00107505985294,1.001241636,0.000529499,0.000465333361554,0.07208959
163,1.001385955,1.000793459,0.000647758,0.000731005683599,0.001167897,0.00106097053532,1.000883091,0.000326792,0.000466398398435,0.07864319
164,1.001772,1.000893394,0.000623415,0.000728385975949,0.001227676,0.00104896595362,1.000967091,0.000399475,0.000468025686038,0.08519679
165,1.001585636,1.000789193,0.00083844,0.0007264737212,0.000933312,0.00103865310184,1.000864936,0.000551186,0.000470108555466,0.09175038
166,1.001323718,1.000750223,0.000827297,0.00072513846327,0.000955741,0.00102973385864,1.000832364,0.000505354,0.000472566336989,0.09830398
