delta_t,msdB,msdR,msdmaxBlue,msdmaxRed,msdminBlue,msdminRed,normB,normR,stdNormB,stdNormR
1.12e-05,[ 0.00739894],[ 0.00579645],[ 0.00490976],[ 0.00583683],[ 0.0067156],[ 0.00901779],0.8880518370105005,0.9179623793448883,0.005137354770376249,0.005387661359684229
1.2e-05,[ 0.00734683],[ 0.00601434],[ 0.00498968],[ 0.00582724],[ 0.00708237],[ 0.00892009],0.8843476918306982,0.91849243590801,0.0059014701324217635,0.005244640784524057
1.28e-05,[ 0.0073275],[ 0.00536157],[ 0.00425096],[ 0.00578007],[ 0.00652409],[ 0.00893063],0.8955421622698202,0.918689280271003,0.006578958955593785,0.005344767826612787
1.4400000000000001e-05,[ 0.00810263],[ 0.00602],[ 0.00512402],[ 0.00650494],[ 0.00694896],[ 0.00975921],0.8842519086003455,0.9108650532758261,0.005145780306614111,0.005425795025314307
1.6e-05,[ 0.00825779],[ 0.00620081],[ 0.00534738],[ 0.00670909],[ 0.007084],[ 0.00986166],0.8812027971248898,0.9093150517442304,0.004861993678912947,0.005238251353252754
1.76e-05,[ 0.00833595],[ 0.00626511],[ 0.00536443],[ 0.0067663],[ 0.00719894],[ 0.00996224],0.880123744784151,0.9085363196216449,0.00512288219227066,0.005301070268207273
1.92e-05,[ 0.00865861],[ 0.00640902],[ 0.00542983],[ 0.00709337],[ 0.0074274],[ 0.01027993],0.8777186012835043,0.905335671874826,0.005546407717676955,0.005247906107795342
2.08e-05,[ 0.00896099],[ 0.00662964],[ 0.00576517],[ 0.00733534],[ 0.00752435],[ 0.010647],0.8740577609500327,0.9023567849827732,0.004842846051410153,0.005417544006941345
2.24e-05,[ 0.00929089],[ 0.00690406],[ 0.00602822],[ 0.00770749],[ 0.00781077],[ 0.01093126],0.869547949223751,0.8991293856506787,0.004854926902282851,0.005235761212436627
2.4e-05,[ 0.00941759],[ 0.00698704],[ 0.00603057],[ 0.00780289],[ 0.00798038],[ 0.01109148],0.8681936907522912,0.897896080477692,0.005293085657170921,0.005326168379791136
2.5599989999999998e-05,[ 0.0093521],[ 0.00696829],[ 0.00601782],[ 0.00778689],[ 0.00795517],[ 0.01097293],0.8684993396151396,0.8985331026020598,0.005263123309483466,0.005167581078386937
