delta_t,meanB,meanBR,meanR,stdB,stdR,stdBR
60.39797,1.000042918,0.999928559,1.000092445,0.000296847,0.000453209,0.000423443
67.10886,1.000125473,0.999877159,0.999921636,0.000317955,0.000370932,0.000279624
73.81974,1.0000441,0.999927945,0.999879209,0.000366005,0.000377331,0.00027171
80.53062,1.000099755,1.000032373,0.999912845,0.000400215,0.000334489,0.000212122
87.24151,1.000028427,1.000027168,0.999933164,0.000303565,0.000365039,0.000387406
93.95239,0.9998102,0.999883559,0.999778445,0.000344706,0.000330864,0.000299976
100.6633,1.000198373,1.000042186,0.999956,0.000221345,0.000221065,0.000251482
107.3742,1.000020691,1.000161995,0.999967836,0.000188876,0.000474087,0.000363564
120.7959,1.000066382,1.000056441,1.000077164,0.000215797,0.000310594,0.000359256
134.2177,0.999995718,1.000099059,1.000021009,0.000215883,0.000259542,0.000231918
147.6395,1.000000464,0.999903973,0.999874127,0.000183681,0.00031193,0.000239895
161.0612,1.000059255,1.000074691,0.999948855,0.000248318,0.00017766,0.000253349
174.483,1.000016745,0.999997205,0.999932882,0.00023685,0.000297724,0.000274159
187.9048,1.000050873,0.999937927,1.000079382,0.000260967,0.000193701,0.000291037
201.3266,1.000050627,1.000031636,0.999974855,0.000246381,0.000383159,0.00018293
214.7483,1.000100691,0.999969114,0.999999891,0.000242865,0.000217549,0.000231168
241.5919,1.000056109,0.999946486,0.999973091,0.00025315,0.000284481,0.000176982
268.4354,1.000064273,0.999928927,0.999883536,0.00010023,0.000271277,0.000146451
295.279,1.000011391,0.999984677,1.000013791,0.000182317,0.000182643,0.000181243
322.1225,1.0000111,1.000042695,1.000035655,0.000143948,0.000243617,0.000145939
348.966,0.999992227,1.000088277,0.999946591,8.29E-05,0.000230013,0.000148753
375.8096,0.999973809,0.999864045,0.999981918,0.000126252,0.000203297,0.000251598
402.6531,0.999994282,0.999934164,0.999961673,0.000180444,0.000191123,0.000233704
429.4966,1.000021973,1.000059436,1.000070064,0.000142062,0.000254433,0.000160363
483.1837,0.999958827,1.000048032,1.0000692,0.000138435,0.000160186,0.000187709
536.8708,0.999997055,0.999979982,0.999895455,0.000113856,0.000213078,0.000288094
590.5579,1.000003091,1.000030882,0.999979345,0.000122252,0.00020035,5.17E-05
644.245,0.636406982,0.636371545,0.636431509,0.481078464,0.481097014,0.48105168
697.9321,0.636372791,0.636357214,0.636409345,0.481052616,0.481080256,0.481040854
751.6191,0.636356082,0.636404541,0.636407518,0.481040008,0.481078874,0.481076627
805.3062,0.636309782,0.636324527,0.636300027,0.481005001,0.480997639,0.481016153
858.9933,0.636384073,0.636300873,0.636358455,0.481061192,0.481041801,0.480998262
