delta_t,meanB,meanBR,meanR,stdB,stdR,stdRB
0.262144,1.040917133,1.0338355,1.102409133,0.013483714,0.017361013,0.013979479
0.2883584,1.0361054,1.0312523,1.0882874,0.013680445,0.016758278,0.011202122
0.3145728,1.032309067,1.026719533,1.077056533,0.010688101,0.015190368,0.013540263
0.3407871,1.028784133,1.024462067,1.072024267,0.008759134,0.011232861,0.011671888
0.3670015,1.026823533,1.020902913,1.068555867,0.009400361,0.016071952,0.011893627
0.3932159,1.025275133,1.019431737,1.0620774,0.009682102,0.016499034,0.01029301
0.4194303,1.022080267,1.016436833,1.056176733,0.010709488,0.015600963,0.007445951
0.4718591,1.021124067,1.014485033,1.052573467,0.010284952,0.010045411,0.009911516
0.5242879,1.0153804,1.01357845,1.0484482,0.009863916,0.012769416,0.009033536
0.5767167,1.014117667,1.010913793,1.0402896,0.007678251,0.007368202,0.011440673
0.6291455,1.00920452,1.009743713,1.036549733,0.008159081,0.009104867,0.007874667
0.6815743,1.01059194,1.007744533,1.032964467,0.007234979,0.012336908,0.007866377
0.7340031,1.010471813,1.006772127,1.027668533,0.00789019,0.014338136,0.012121247
0.7864318,1.00507678,1.00592401,1.02473466,0.010330953,0.013240341,0.009629766
0.8388606,1.005627893,1.004975363,1.023666333,0.011348906,0.012224767,0.007746445
0.9437183,1.002497247,1.00290784,1.01811838,0.009822313,0.013739065,0.009875923
1.048576,1.003112807,1.00090612,1.014456427,0.010719867,0.015998706,0.008226025
1.153433,1.002495713,1.001408023,1.01107314,0.009910407,0.017071625,0.010432393
1.258291,1.003645133,0.999847887,1.00757752,0.007110714,0.016356224,0.007244866
1.363149,1.003089107,1.001722707,1.006166813,0.008261302,0.015335051,0.0065912
1.468006,1.003447173,1.001991483,1.004085447,0.009828521,0.015733327,0.010147367
1.572864,1.00034762,1.001326753,1.003484973,0.00650193,0.015254031,0.011008196
1.677721,1.001132513,0.99804251,1.001550933,0.007371381,0.014113043,0.00937899
1.887437,1.0044791,0.999993833,1.00483434,0.006896468,0.010792629,0.00889939
2.097152,0.999582653,1.00163323,1.00377776,0.005622275,0.008055608,0.007492251
2.306867,0.999732367,1.001227657,1.001850107,0.007818951,0.015101657,0.01013378
2.516582,0.996389653,0.99793593,1.000819453,0.008280479,0.010937635,0.008527112
2.726297,1.001285513,0.997973033,1.001620107,0.00674785,0.012444158,0.010304703
