delta_t,meanB,meanBR,meanR,stdB,stdR,stdBR
0.3407871,1.006423314,1.005137116,1.015341955,0.0039789,0.005396473,0.003530239
0.3670015,1.006362682,1.004520432,1.013473545,0.00321478,0.004778294,0.003899938
0.3932159,1.006066864,1.003733695,1.012928682,0.002945394,0.004822301,0.004526394
0.4194303,1.006457455,1.003080293,1.011929273,0.003630248,0.004762916,0.00475623
0.4718591,1.004250318,1.003438534,1.009488955,0.002848923,0.004175765,0.003089125
0.5242879,1.003642114,1.002328757,1.007223818,0.002988624,0.002852666,0.002795801
0.5767167,1.003430564,1.001473652,1.007042545,0.0026156,0.00330156,0.002965681
0.6291455,1.003171068,1.000804377,1.006147273,0.003492607,0.003244636,0.003937801
0.6815743,1.002308586,1.001249575,1.005090909,0.002760721,0.003570596,0.003098061
0.7340031,1.0022395,1.000690355,1.004206468,0.003527662,0.003623771,0.003393275
0.7864318,1.001742405,1.000582916,1.003526877,0.003408745,0.003070599,0.003093206
0.8388606,1.002325864,1.000546943,1.003675623,0.002830796,0.003765742,0.00294543
0.9437183,1.001606082,1.000810809,1.003368641,0.001903748,0.003526072,0.00290156
1.048576,1.001381159,1.001551495,1.003279582,0.002255573,0.003706023,0.002294029
1.153433,1.001541023,1.00133517,1.002576273,0.00349919,0.002883392,0.003490648
1.258291,1.00092825,1.000982075,1.002968745,0.002260938,0.003668768,0.002958332
1.363149,1.0014342,1.001408291,1.002335823,0.002741644,0.004002012,0.002934756
1.468006,1.002067636,1.001905916,1.001851727,0.002929472,0.003951068,0.002627517
1.572864,1.001900327,1.000993545,1.002056091,0.002161476,0.002959471,0.001869447
1.677721,1.001431459,1.001153193,1.000606073,0.002285637,0.00338662,0.003213676
1.887437,1.001618491,1.001417586,1.00093605,0.002388952,0.003299296,0.003356318
2.097152,1.000256909,1.000646318,1.000370582,0.00214145,0.00293844,0.002163464
2.306867,1.000668995,0.999687166,1.000032445,0.00319307,0.003057987,0.003135311
2.516582,1.000860332,1.000349834,1.000335782,0.003265706,0.002036165,0.003097197
2.726297,1.000040945,1.000352489,1.000054591,0.002936219,0.002377871,0.002458096
2.936012,0.999739109,1.000154348,1.000725023,0.002743775,0.002141746,0.002946487
3.145727,1.000759414,1.000736391,1.000707977,0.002470417,0.002235652,0.002754577
3.355443,1.00010085,1.000029341,1.00068235,0.002417155,0.003231185,0.002419438
3.774873,1.000253964,1.000115459,1.000427641,0.001413859,0.00298004,0.001611263
4.194304,1.000566577,1.00072548,1.000916832,0.00170485,0.002420176,0.001657157
4.613734,1.000726773,1.000465116,0.999982405,0.002125636,0.003069872,0.002047494
5.033164,0.999682332,1.000304916,1.001071377,0.00169167,0.00217911,0.001538443
5.452594,0.999788791,1.000856889,1.000963641,0.001799723,0.002866532,0.001391251
5.872025,0.999926268,1.000852675,0.999893464,0.001831912,0.002649716,0.00211211
6.291455,1.000290559,1.000376893,0.999957255,0.001696179,0.002154229,0.001836627
6.710885,1.000098895,1.000249368,1.000493059,0.001777879,0.002420378,0.002634319
7.549746,1.000346005,0.99967673,0.999477086,0.001610734,0.002463508,0.001700831
8.388607,1.000026632,1.000018359,0.999802595,0.001164019,0.00243232,0.001151071
9.227468,1.000546386,0.999744532,0.999742509,0.001439867,0.002182676,0.001833758
10.06633,0.999712364,0.999831498,1.000354614,0.001502214,0.00196007,0.001787958
10.90519,0.999745436,0.9996819,0.9994324,0.001065367,0.002000746,0.002067038
11.74405,1.000000555,1.00013693,1.000164518,0.001433269,0.002026446,0.0012829
12.58291,1.000095377,0.99993163,1.000164059,0.001019768,0.002224488,0.001287924
13.42177,0.999838823,0.999592152,1.0000054,0.001465434,0.00221233,0.001723582
15.09949,1.000180186,0.999766116,0.999841459,0.001187509,0.001714338,0.001814627
16.77721,1.000017173,0.999879364,0.999829068,0.001026943,0.001611379,0.001417975
18.45494,1.000119355,0.999748164,0.999573109,0.001308399,0.001338538,0.001672321
20.13266,0.999747909,0.999899459,0.999541709,0.001214028,0.001363824,0.001385392
21.81038,0.999819755,0.999664716,0.999730023,0.001103693,0.001242588,0.000810912
23.4881,0.999723423,0.999950809,0.999451968,0.001305706,0.001968518,0.001274007
25.16582,0.999752959,1.000466332,1.000014127,0.001254352,0.001509665,0.001641122
26.84354,1.00022285,1.000200195,0.999590577,0.001102276,0.001738954,0.001435362
30.19898,1.000097677,0.999688427,0.999828609,0.000709009,0.001301897,0.001270744
33.55443,0.999592441,0.999726764,0.999468927,0.001003336,0.001069959,0.001104913
36.90987,1.00016835,1.000285973,0.999932327,0.000693284,0.001448906,0.00110723
40.26531,1.00034645,0.999915811,0.99954325,0.00106257,0.001442639,0.000704206
43.62075,1.000116927,1.000224782,0.999786677,0.001155752,0.001610501,0.001293932
46.9762,1.000233659,1.000257241,1.000302709,0.000974145,0.001425458,0.001129236
50.33164,1.000027609,1.000096309,1.000116182,0.000973013,0.001372653,0.001257364
53.68708,0.999482009,0.99997988,0.999830568,0.001105179,0.001460235,0.001083872
60.39797,1.000039632,0.999827861,0.999802814,0.000487085,0.000694063,0.000575663
67.10886,1.000238027,1.000122009,0.999932936,0.00065438,0.001308231,0.000858262
73.81974,0.999776241,1.000287934,0.999943864,0.000763816,0.000966449,0.000659892
80.53062,1.000272091,0.999729832,0.999885655,0.000686224,0.00099808,0.000701077
87.24151,1.000261891,1.000289457,1.000137355,0.000760811,0.001161505,0.000899609
93.95239,0.999759873,0.999513586,0.999197973,0.000803242,0.001298764,0.000946781
100.6633,1.000216882,1.000005252,0.9995165,0.001030319,0.001407058,0.000754605
107.3742,0.9998086,1.000041391,1.000016345,0.0005611,0.000850484,0.000862391
120.7959,0.999991005,0.999741041,1.000017814,0.000383822,0.000853506,0.00070101
134.2177,0.999984227,0.999963134,0.999810318,0.000675102,0.00085635,0.000704292
147.6395,1.000145677,0.99984663,0.999760755,0.000526647,0.000955316,0.000759676
161.0612,1.000078164,0.999866514,1.000180964,0.000567611,0.000793018,0.000740187
174.483,0.999742445,0.999751825,0.999655459,0.000540657,0.001111728,0.000891447
187.9048,1.0001155,1.000397864,1.000215641,0.000424214,0.000755153,0.000685794
201.3266,0.999937427,0.999870455,0.999710768,0.000433813,0.000709633,0.000477277
214.7483,0.999991064,0.999850277,1.00006295,0.000687072,0.001154554,0.000784405
241.5919,0.954382941,0.954256773,0.954527864,0.208263655,0.208295917,0.208236622
268.4354,0.954530686,0.954678477,0.954535686,0.208296143,0.208297725,0.208328299
295.279,0.954548082,0.954640325,0.954554382,0.208299747,0.208302661,0.20832019
322.1225,0.954548132,0.954199209,0.954197977,0.208300116,0.208224601,0.208224395
348.966,0.95443495,0.954525916,0.954635432,0.208275422,0.2083203,0.208294973
375.8096,0.95456695,0.95476817,0.954705945,0.208304833,0.20833831,0.208349098
402.6531,0.954312018,0.954400727,0.954582768,0.208250062,0.208311354,0.208269727
429.4966,0.954573155,0.95456145,0.954515073,0.208304957,0.208292351,0.208302445
483.1837,0.272712032,0.272698936,0.272727836,0.445336891,0.445362698,0.445315507
536.8708,0.272737332,0.272705175,0.272710359,0.445378211,0.445334218,0.445325701
590.5579,0.272677155,0.272720995,0.272730655,0.445279951,0.445367311,0.445351535
644.245,0.272738705,0.272774784,0.2727474,0.445380464,0.44539471,0.445439477
697.9321,0.272730882,0.272675225,0.272718291,0.445367669,0.445347143,0.445276793
751.6191,0.272732245,0.272743795,0.272691141,0.445369894,0.445302775,0.445388759
805.3062,0.272727273,0.272727273,0.272727273,0.445361771,0.445361771,0.445361771
858.9933,0,0,0,0,0,0
