delta_t,meanB,meanBR,meanR,stdB,stdR,stdBR
0.1179648,1.002824917,1.001621292,1.003351083,0.000790304,0.000824353,0.000942183
0.131072,1.002478583,1.001473792,1.002942917,0.000873548,0.000524152,0.000721352
0.1441792,1.00206225,1.001345954,1.002819083,0.000807178,0.000537881,0.000770806
0.1572864,1.00176725,1.001039975,1.002738667,0.000523679,0.000718541,0.000650611
0.1703936,1.001513833,1.001057692,1.002406833,0.000465963,0.000725309,0.000656663
0.1835008,1.001599367,1.000571238,1.002234667,0.000811027,0.000438757,0.000611393
0.196608,1.001283217,1.000583992,1.001941667,0.000887263,0.000654097,0.001041364
0.2097152,1.001153783,1.000669471,1.001679917,0.001055813,0.00079712,0.00088065
0.2359296,1.001292333,1.000751763,1.00143975,0.000607524,0.000455386,0.000449573
0.262144,1.0012745,1.000639117,1.001072,0.000408242,0.000530106,0.000486455
0.2883584,1.00084425,1.000793446,1.0012325,0.000558839,0.000395316,0.000702432
0.3145728,1.000985825,1.000632571,1.001182158,0.000667926,0.000554613,0.000796576
0.3407871,1.000971417,1.000743121,1.001181583,0.000575312,0.000607327,0.000653143
0.3670015,1.000839542,1.000575767,1.001092283,0.000529818,0.00067382,0.000583257
0.3932159,1.000708833,1.0003183,1.000982933,0.000607339,0.000471417,0.000678881
0.4194303,1.000424892,1.000396463,1.000771742,0.000642063,0.00081399,0.000764425
0.4718591,1.000553317,1.000257396,1.000617692,0.000709161,0.0007815,0.000679718
0.5242879,1.000349792,1.000068463,1.00053275,0.000739533,0.000792268,0.000737375
0.5767167,1.0008047,1.000145713,1.0004278,0.000541743,0.00073639,0.000679022
0.6291455,1.0009966,1.000335571,1.000334217,0.000566263,0.000400677,0.000563724
0.6815743,1.000774733,1.000258579,1.000271275,0.000730616,0.000524446,0.000636947
0.7340031,1.000786292,1.0003585,1.000456567,0.000645047,0.00041889,0.000546661
0.7864318,1.0007264,1.000244388,1.000174967,0.000497959,0.000401579,0.000615197
0.8388606,1.000538833,0.999872592,1.000134042,0.000496655,0.00045759,0.000555373
0.9437183,1.000253808,0.999958421,1.000346242,0.000569022,0.000345876,0.000567588
1.048576,1.0002592,1.000160421,1.000263942,0.000591897,0.000593069,0.000603511
1.153433,1.000095292,1.000168675,1.000241358,0.000542629,0.000406779,0.000417428
1.258291,1.000162483,1.0001764,1.000127167,0.000353701,0.000312165,0.000360507
1.363149,1.00028735,1.000290225,1.0003472,0.000438021,0.000649421,0.000427401
1.468006,1.000451675,1.00026705,1.000246308,0.000406255,0.000463843,0.000386497
1.572864,1.000254517,0.999963125,1.000065275,0.000472449,0.000447534,0.000357273
1.677721,1.000257258,1.000235754,1.000420025,0.000552678,0.000430001,0.000435078
1.887437,1.000097858,1.000262338,1.000158908,0.000345407,0.000433824,0.000335033
2.097152,1.000006283,1.000005083,1.000220967,0.000345793,0.000504891,0.000353035
2.306867,1.000070533,0.999914667,1.000116842,0.000365953,0.000318713,0.000320732
2.516582,1.000257208,1.000030488,1.000194167,0.000434705,0.000321894,0.000283783
2.726297,1.000064358,0.999958846,1.000178342,0.000400174,0.000598441,0.000439252
2.936012,1.000195558,1.000009554,1.000089792,0.000239051,0.000359747,0.000467391
3.145727,0.999943133,0.999929808,1.00014105,0.000317663,0.000315359,0.000258262
3.355443,1.000115983,1.000130713,1.000057192,0.000277615,0.000350288,0.000265045
3.774873,1.00017135,1.000092667,1.00011775,0.00032697,0.000283472,0.000255485
4.194304,1.000090867,1.000089171,1.000014183,0.000263337,0.000291611,0.000339432
4.613734,1.000126675,1.000142421,1.000160442,0.000240397,0.000249406,0.000285287
5.033164,1.000167233,0.999996883,1.000006233,0.000257199,0.00018077,0.000263356
5.452594,1.000039767,1.000046996,1.000064842,0.000180234,0.000213284,0.000253721
5.872025,1.000150625,1.000114083,1.00010505,0.000235585,0.000322224,0.000293612
6.291455,1.000052467,0.999866033,0.999965408,0.000329351,0.000377775,0.000249448
6.710885,1.000181142,1.000007058,0.9999929,0.000226838,0.000290406,0.000426333
7.549746,0.999971983,1.000025638,1.00001175,0.000149236,0.000211216,0.000287384
8.388607,0.999986867,1.000081254,1.000133558,0.00016478,0.000245007,0.000131765
9.227468,0.999971575,0.999880088,0.999958625,0.000263794,0.000282868,0.000306678
10.06633,1.000001,1.000078896,0.999843008,0.000206839,0.000261801,0.000231291
10.90519,0.999963967,0.999935396,0.999935117,0.000241426,0.000277604,0.000268321
11.74405,0.999893883,0.999851642,0.999953767,0.000282547,0.000312979,0.000210291
12.58291,1.000027408,0.999904575,1.000037183,0.000265025,0.000253908,0.00019627
13.42177,0.999906175,0.999944387,1.00000965,0.000259029,0.000240735,0.000205896
15.09949,0.9999071,0.999933383,1.000031142,0.000161305,0.000257755,0.000209264
16.77721,0.999962417,0.999997475,0.999923308,0.000206087,0.000108904,0.000131289
18.45494,0.99995345,1.000001575,1.000000075,0.000170418,0.000190935,0.000242601
20.13266,0.999936617,1.000010788,1.00000015,0.000218239,0.00020285,0.000214418
21.81038,1.0000247,1.00005475,0.999974875,0.000248757,0.000121974,0.000209687
23.4881,0.999990792,1.000009996,0.999939275,0.000122256,0.000239302,0.000249033
25.16582,0.999991092,1.0000277,1.000011642,0.000147747,0.000228447,0.000206325
26.84354,0.99999835,1.000020558,0.999991867,0.000201007,0.000189877,0.00017367
30.19898,1.000055875,0.999966192,1.000002392,0.000132902,0.000118434,9.20E-05
33.55443,1.000025592,1.000001383,1.000002092,0.000158238,0.00016615,0.000173404
36.90987,1.000024292,1.000000704,0.99997635,0.000109965,0.000155328,0.000168
40.26531,1.00002475,1.000006429,1.00000505,0.000103468,0.00015695,0.000184411
43.62075,1.000046475,0.999993383,0.999949033,0.000113485,0.0001871,0.000156277
46.9762,1.000040708,0.999941704,0.9999285,0.000102078,0.000199558,0.000143347
50.33164,0.999970933,0.999895221,0.999981617,0.000134526,0.000177268,8.11E-05
53.68708,1.000019525,0.999959754,1.000019867,0.000127271,0.000142117,0.000135466
60.39797,1.00000125,0.999988579,1.000012292,0.00010605,6.52E-05,0.000106619
67.10886,1.000019492,1.000010067,0.999973342,6.72E-05,9.32E-05,7.78E-05
73.81974,1.000018292,0.999990075,1.000009742,9.82E-05,0.000128446,8.01E-05
80.53062,0.999987933,1.000041442,1.000016092,0.000108715,0.000110427,0.000112247
87.24151,1.000022875,0.999992125,0.999943225,0.000110188,0.000139135,0.000129864
93.95239,1.000070783,1.000011171,1.00002345,0.00011573,0.000158749,0.000106469
100.6633,1.0000241,1.00002295,0.999977592,0.000120808,0.000114395,0.000138722
107.3742,1.00000515,0.999975433,1.0000043,0.000137301,0.00011507,0.000119674
120.7959,0.999974667,0.999988883,0.999973892,0.000134035,8.71E-05,0.000113125
134.2177,0.999948992,0.999983808,0.999973375,6.69E-05,0.000105653,9.23E-05
147.6395,1.000059883,1.0000242,0.999980133,8.42E-05,8.47E-05,7.34E-05
161.0612,0.999971383,0.999999246,0.999993858,9.77E-05,0.000113559,0.000111989
174.483,0.999993467,1.000056817,1.000027283,9.11E-05,0.000110029,8.78E-05
187.9048,0.999999017,0.999978837,0.999972975,9.84E-05,0.000105825,0.000103658
201.3266,1.000049608,1.000031742,0.999998817,9.68E-05,0.000108436,0.000123355
214.7483,0.999986492,1.000023467,1.000052742,0.000136864,0.000138937,0.000104235
241.5919,1.000012108,1.000002504,1.000003358,6.31E-05,9.13E-05,8.89E-05
268.4354,0.999990408,0.999990442,1.000011717,5.92E-05,6.75E-05,6.60E-05
295.279,1.00004575,1.000027408,0.999999708,9.50E-05,8.48E-05,0.000116303
322.1225,0.999960783,1.00001435,1.000017892,6.79E-05,7.97E-05,8.26E-05
348.966,0.999982092,0.999935879,0.999943958,5.72E-05,0.000144584,9.49E-05
375.8096,1.000002867,0.999983667,0.999988275,6.50E-05,0.000119222,9.68E-05
402.6531,0.999954667,1.000005733,0.999990817,9.22E-05,0.000133226,0.000130444
429.4966,1,1,1,0,0,0
483.1837,0,0,0,0,0,0
536.8708,0,0,0,0,0,0
590.5579,0,0,0,0,0,0
644.245,0,0,0,0,0,0
697.9321,0,0,0,0,0,0
751.6191,0,0,0,0,0,0
805.3062,0,0,0,0,0,0
858.9933,0,0,0,0,0,0
